STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/2015,7.16,",,W",0,",,W,2400",0,",,W,",0,",,W,",,,39,",,W",27,",,W",260,",,W",250,",,W",17,",,W",31.1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/2015,7.16,",,W",0,",,W,2400",0,",,W,",0,",,W,",,,42,",,W",35,",,W",260,",,W",310,",,W",15,",,W",25.1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/2015,6.49,",,W",0.71,",,W,2400",0,"T,,W,",0,",,W,",,,42,",,W",33,",,W",80,",,W",70,",,W",12.1,",,W",18.1,",,W",1,",,W",,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/2015,6.49,",,W",0.3,",,W,2400",0,",,W,",0,",,W,",,,56,",,W",41,",,W",280,",,W",260,",,W",29.1,",,W",46.1,",,W",1,",,W",,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/2015,10.51,",,W",0,",,W,2400",0,",,W,",0,",,W,",,,49,",,W",21,",,W",280,",,W",300,",,W",23.9,",,W",38,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/2015,4.03,",,W",0.05,",,W,2400",1,",,W,",0,",,W,",,,22,",,W",19,",,W",320,",,W",280,",,W",14.1,",,W",23.9,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/2015,12.75,",,W",0,",,W,2400",0,",,W,",1,",,W,",,,23,",,W",9,",,W",310,",,W",300,",,W",21.9,",,W",38.9,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/2015,8.72,",,W",0,",,W,2400",0,",,W,",0,"T,,W,",,,21,",,W",8,",,W",310,",,W",310,",,W",18.1,",,W",31.1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/2015,8.72,",,W",0.07,",,W,2400",1.5,",,W,",0,"T,,W,",,,33,",,W",19,",,W",280,",,W",290,",,W",21,",,W",30,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/2015,8.05,",,W",0,",,W,2400",0,",,W,",1,",,W,",,,23,",,W",16,",,W",250,",,W",230,",,W",18.1,",,W",25.1,",,W",,,,,,,,,,
